# Name: Histogram_1
# Instrument: CNCS
# Ei: 2.7
# Binning: 
# 	[H,H,0]: 75 bins from 0.0 to 0.75, step 0.01
# 	DeltaE: 72 bins from 0.2 to 2.0, step 0.025
# 	[0,0,L]: 1 bins from -3.05 to -2.95
# 	[H,-H,0]: 1 bins from -0.1 to 0.1
# UnitCell:
# 	Lattice parameters: a = 5.71082 b = 5.70969 c = 21.4314 alpha = 90.0249 beta = 89.9439 gamma = 119.988
# 	Orientation u:[0.76409,0.91221,20.4881]	v:[2.70519,2.75431,-6.28141]
# Intensity Error [H,H,0] DeltaE [0,0,L] [H,-H,0]
#  shape: 75x72x1x1
0.000000e+00 0.000000e+00 1.500000e-02 1.162500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 1.500000e-02 1.187500e+00 -3.000000e+00 0.000000e+00
4.832615e-04 2.790111e-04 1.500000e-02 1.212500e+00 -3.000000e+00 0.000000e+00
4.020349e-04 2.321149e-04 1.500000e-02 1.237500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 1.500000e-02 1.262500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 1.500000e-02 1.287500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 1.500000e-02 1.312500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 1.500000e-02 1.337500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 1.500000e-02 1.362500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 1.500000e-02 1.387500e+00 -3.000000e+00 0.000000e+00
1.108474e-04 6.399779e-05 1.500000e-02 1.412500e+00 -3.000000e+00 0.000000e+00
1.031968e-04 5.958071e-05 1.500000e-02 1.437500e+00 -3.000000e+00 0.000000e+00
1.915904e-04 7.821657e-05 1.500000e-02 1.462500e+00 -3.000000e+00 0.000000e+00
1.791922e-04 7.315492e-05 1.500000e-02 1.487500e+00 -3.000000e+00 0.000000e+00
1.696729e-04 6.926888e-05 1.500000e-02 1.512500e+00 -3.000000e+00 0.000000e+00
1.557752e-04 6.359496e-05 1.500000e-02 1.537500e+00 -3.000000e+00 0.000000e+00
1.360416e-04 5.553888e-05 1.500000e-02 1.562500e+00 -3.000000e+00 0.000000e+00
1.281826e-03 1.614959e-04 1.500000e-02 1.587500e+00 -3.000000e+00 0.000000e+00
1.602938e-03 1.748960e-04 1.500000e-02 1.612499e+00 -3.000000e+00 0.000000e+00
1.323505e-03 1.559772e-04 1.500000e-02 1.637499e+00 -3.000000e+00 0.000000e+00
3.174612e-04 7.482700e-05 1.500000e-02 1.662499e+00 -3.000000e+00 0.000000e+00
1.508310e-04 5.027705e-05 1.500000e-02 1.687499e+00 -3.000000e+00 0.000000e+00
5.258219e-04 9.153451e-05 1.500000e-02 1.712499e+00 -3.000000e+00 0.000000e+00
4.055742e-04 7.805330e-05 1.500000e-02 1.737499e+00 -3.000000e+00 0.000000e+00
2.573330e-04 6.065450e-05 1.500000e-02 1.762499e+00 -3.000000e+00 0.000000e+00
1.637988e-03 1.514330e-04 1.500000e-02 1.787499e+00 -3.000000e+00 0.000000e+00
1.500971e-03 1.444322e-04 1.500000e-02 1.812499e+00 -3.000000e+00 0.000000e+00
2.428132e-03 1.825111e-04 1.500000e-02 1.837499e+00 -3.000000e+00 0.000000e+00
1.503654e-03 1.427214e-04 1.500000e-02 1.862499e+00 -3.000000e+00 0.000000e+00
5.609642e-04 8.655972e-05 1.500000e-02 1.887499e+00 -3.000000e+00 0.000000e+00
2.768979e-04 6.042417e-05 1.500000e-02 1.912499e+00 -3.000000e+00 0.000000e+00
3.489672e-04 6.715938e-05 1.500000e-02 1.937499e+00 -3.000000e+00 0.000000e+00
3.835977e-04 7.003579e-05 1.500000e-02 1.962499e+00 -3.000000e+00 0.000000e+00
2.706673e-04 5.906530e-05 1.500000e-02 1.987499e+00 -3.000000e+00 0.000000e+00
nan nan 2.500000e-02 2.125000e-01 -3.000000e+00 0.000000e+00
nan nan 2.500000e-02 2.375000e-01 -3.000000e+00 0.000000e+00
nan nan 2.500000e-02 2.625000e-01 -3.000000e+00 0.000000e+00
nan nan 2.500000e-02 2.875000e-01 -3.000000e+00 0.000000e+00
nan nan 2.500000e-02 3.125000e-01 -3.000000e+00 0.000000e+00
nan nan 2.500000e-02 3.375000e-01 -3.000000e+00 0.000000e+00
nan nan 2.500000e-02 3.624999e-01 -3.000000e+00 0.000000e+00
nan nan 2.500000e-02 3.874999e-01 -3.000000e+00 0.000000e+00
nan nan 2.500000e-02 4.124999e-01 -3.000000e+00 0.000000e+00
nan nan 2.500000e-02 4.374999e-01 -3.000000e+00 0.000000e+00
nan nan 2.500000e-02 4.624999e-01 -3.000000e+00 0.000000e+00
